t_gps,kf_lat,kf_lon,kf_h,rts_lat,rts_lon,rts_h,kf_sigma,rts_sigma
3090,33.578311,-117.064222,401.357981,33.578374,-117.064249,456.721578,12.78146,1.741796
3105,33.578311,-117.064222,401.425259,33.578374,-117.064249,456.722182,12.729583,1.741359
3120,33.57831,-117.064222,401.455466,33.578374,-117.064249,456.722785,12.682762,1.740922
3135,33.578309,-117.064222,401.483483,33.578374,-117.064249,456.723388,12.637638,1.740486
3150,33.578309,-117.064221,401.525883,33.578374,-117.064249,456.723992,12.589198,1.740049
3165,33.578308,-117.064221,401.5785,33.578374,-117.064249,456.724595,12.538666,1.739613
3180,33.578308,-117.064221,401.616249,33.578374,-117.064249,456.725198,12.490161,1.739177
3195,33.578307,-117.064221,401.632759,33.578374,-117.064249,456.725802,12.444702,1.73874
3210,33.578306,-117.06422,401.654244,33.578374,-117.064249,456.726405,12.397376,1.738304
3225,33.578335,-117.06421,409.311339,33.578374,-117.064249,456.727008,11.825341,1.737867
3240,33.578359,-117.064201,415.633378,33.578374,-117.064249,456.727612,11.337801,1.737431
3255,33.578379,-117.064193,420.870896,33.578374,-117.064249,456.728215,10.917803,1.736995
3270,33.578395,-117.064187,425.298016,33.578374,-117.064249,456.728818,10.554793,1.736558
3285,33.57841,-117.064181,429.123782,33.578374,-117.064249,456.729422,10.236259,1.736122
3300,33.578422,-117.064176,432.481954,33.578374,-117.064249,456.730025,9.948833,1.735686
3315,33.578433,-117.064172,435.467606,33.578374,-117.064249,456.730628,9.693262,1.73525
3330,33.578442,-117.064168,438.114786,33.578374,-117.064249,456.731232,9.464195,1.734814
3345,33.578451,-117.064164,440.46041,33.578374,-117.064249,456.731835,9.25901,1.734378
3360,33.578458,-117.064161,442.610325,33.578374,-117.064249,456.732438,9.069699,1.733942
3375,33.578465,-117.064158,444.57443,33.578374,-117.064249,456.733042,8.896371,1.733505
3390,33.578471,-117.064155,446.37548,33.578374,-117.064249,456.733645,8.736061,1.733069
3405,33.578476,-117.064152,448.011032,33.578374,-117.064249,456.734248,8.590156,1.732633
3420,33.578481,-117.06415,449.525152,33.578374,-117.064249,456.734852,8.456813,1.732198
3435,33.578486,-117.064147,450.961099,33.578374,-117.064249,456.735455,8.329776,1.731762
3450,33.57849,-117.064145,452.300811,33.578374,-117.064249,456.736058,8.210032,1.731326
3465,33.578494,-117.064143,453.536278,33.578374,-117.064249,456.736662,8.098266,1.73089
3480,33.578498,-117.064141,454.688178,33.578374,-117.064249,456.737265,7.996807,1.730454
3495,33.578501,-117.064139,455.784263,33.578374,-117.064249,456.737868,7.900071,1.730018
3510,33.578504,-117.064137,456.806416,33.578374,-117.064249,456.738471,7.811964,1.729582
3525,33.578507,-117.064135,457.767451,33.578374,-117.064249,456.739075,7.728688,1.729147
3540,33.57851,-117.064133,458.700829,33.578374,-117.064249,456.739678,7.649795,1.728711
3555,33.578513,-117.064131,459.571242,33.578374,-117.064249,456.740281,7.576313,1.728275
3570,33.578515,-117.06413,460.39688,33.578374,-117.064249,456.740885,7.507133,1.72784
3585,33.578517,-117.064128,461.18555,33.578374,-117.064249,456.741488,7.442226,1.727404
3600,33.578519,-117.064127,461.941776,33.578374,-117.064249,456.742091,7.381101,1.726968
3615,33.578521,-117.064125,462.680267,33.578374,-117.064249,456.742695,7.324158,1.726533
3630,33.578523,-117.064123,463.384336,33.578373,-117.064249,456.743298,7.270836,1.726097
3645,33.578525,-117.064122,464.073259,33.578373,-117.064249,456.743901,7.218785,1.725662
3660,33.578526,-117.064121,464.729559,33.578373,-117.064249,456.744505,7.170207,1.725226
3675,33.578528,-117.064119,465.357661,33.578373,-117.064249,456.745108,7.124728,1.724791
3690,33.578529,-117.064118,465.959309,33.578373,-117.064249,456.745711,7.080871,1.724356
3705,33.578531,-117.064117,466.539846,33.578373,-117.064249,456.746315,7.038582,1.72392
3720,33.578532,-117.064116,467.106977,33.578373,-117.064249,456.746918,6.998363,1.723485
3735,33.578533,-117.064114,467.654636,33.578373,-117.064249,456.747521,6.961842,1.723049
3750,33.578534,-117.064113,468.196159,33.578373,-117.064249,456.748125,6.926644,1.722614
3765,33.578535,-117.064112,468.715316,33.578373,-117.064249,456.748728,6.892728,1.722179
3780,33.578536,-117.064111,469.210666,33.578373,-117.064249,456.749331,6.861343,1.721744
3795,33.578537,-117.06411,469.698374,33.578373,-117.064249,456.749935,6.831222,1.721309
3810,33.578538,-117.064109,470.165935,33.578373,-117.064249,456.750538,6.802723,1.720873
3825,33.578539,-117.064108,470.616146,33.578373,-117.064249,456.751141,6.775769,1.720438
3840,33.578539,-117.064107,471.050977,33.578373,-117.064249,456.751745,6.749878,1.720003
3855,33.57854,-117.064106,471.4743,33.578373,-117.064249,456.752348,6.724533,1.719568
3870,33.578541,-117.064105,471.896799,33.578373,-117.064249,456.752951,6.700272,1.719133
3885,33.578541,-117.064104,472.301396,33.578373,-117.064249,456.753555,6.677367,1.718698
3900,33.578542,-117.064103,472.697704,33.578373,-117.064249,456.754158,6.656128,1.718263
3915,33.578543,-117.064102,473.081577,33.578373,-117.064249,456.754761,6.63565,1.717828
3930,33.578543,-117.064101,473.452691,33.578373,-117.064249,456.755365,6.616107,1.717393
3945,33.578543,-117.0641,473.816846,33.578373,-117.064249,456.755968,6.597362,1.716958
3960,33.578544,-117.064099,474.176028,33.578373,-117.064249,456.756571,6.579372,1.716524
3975,33.578544,-117.064098,474.52019,33.578373,-117.064249,456.757175,6.562475,1.716089
3990,33.578545,-117.064097,474.850193,33.578373,-117.064249,456.757778,6.547089,1.715654
4005,33.578545,-117.064096,475.185344,33.578373,-117.064249,456.758381,6.532113,1.715219
4020,33.578545,-117.064096,475.513547,33.578373,-117.064249,456.758985,6.517733,1.714784
4035,33.578545,-117.064095,475.831483,33.578373,-117.064249,456.759588,6.504269,1.71435
4050,33.578546,-117.064094,476.141205,33.578373,-117.064249,456.760191,6.491562,1.713915
4065,33.578546,-117.064093,476.44093,33.578373,-117.064249,456.760795,6.4795,1.71348
4080,33.578546,-117.064092,476.732163,33.578373,-117.064249,456.761398,6.467687,1.713046
4095,33.578546,-117.064092,477.020134,33.578373,-117.064249,456.762001,6.456571,1.712611
